Line_ID,habitat,site,item,year,date.deployed,time.deployed,date.collected,time.collected,number.deployed,number.recovered,detachment.1hr,detachment.24hr,prop.1hr,prop.24hr,lat,long
20161021CB001,patch reef,House Reef,thalassia,2016,20161021,800,20161022,800,20,20,16,20,0.666666667,1,16.80126,-88.08306
20161021CB001,patch reef,House Reef,sargassum,2016,20161021,800,20161022,800,20,20,8,19,0.333333333,0.95,16.80126,-88.08306
20161021CB001,patch reef,House Reef,halimeda,2016,20161021,800,20161022,800,20,20,2,2,0.083333333,0.1,16.80126,-88.08306
20161021CB001,patch reef,House Reef,dictyota,2016,20161021,800,20161022,800,20,20,8,15,0.333333333,0.75,16.80126,-88.08306
20161021CB001,patch reef,House Reef,acanthophora,2016,20161021,800,20161022,800,20,20,12,17,0.5,0.85,16.80126,-88.08306
20161101CB003,patch reef,Curlew Patch Reef,thalassia,2016,20161101,930,20161102,930,20,20,1,4,0.041666667,0.2,16.78,-88.10123
20161101CB003,patch reef,Curlew Patch Reef,sargassum,2016,20161101,930,20161102,930,20,20,0,0,0,0,16.78,-88.10123
20161101CB003,patch reef,Curlew Patch Reef,halimeda,2016,20161101,930,20161102,930,20,20,0,0,0,0,16.78,-88.10123
20161101CB003,patch reef,Curlew Patch Reef,dictyota,2016,20161101,930,20161102,930,20,20,0,2,0,0.1,16.78,-88.10123
20161101CB003,patch reef,Curlew Patch Reef,acanthophora,2016,20161101,930,20161102,930,20,20,10,19,0.416666667,0.95,16.78,-88.10123
20161101CB004,patch reef,Carrie Bow Patch Reef,thalassia,2016,20161101,900,20161102,900,19,20,14,20,0.583333333,1,16.80863,-88.08616
20161101CB004,patch reef,Carrie Bow Patch Reef,sargassum,2016,20161101,900,20161102,900,19,20,16,20,0.666666667,1,16.80863,-88.08616
20161101CB004,patch reef,Carrie Bow Patch Reef,halimeda,2016,20161101,900,20161102,900,19,20,3,9,0.125,0.45,16.80863,-88.08616
20161101CB004,patch reef,Carrie Bow Patch Reef,dictyota,2016,20161101,900,20161102,900,19,20,16,20,0.666666667,1,16.80863,-88.08616
20161101CB004,patch reef,Carrie Bow Patch Reef,acanthophora,2016,20161101,900,20161102,900,19,20,18,20,0.75,1,16.80863,-88.08616
20161024CB001,sand,Carrie Bow Sand,thalassia,2016,20161024,1445,20161025,1514,20,20,0,0,0,0,16.80894,-88.08841
20161024CB001,sand,Carrie Bow Sand,sargassum,2016,20161024,1445,20161025,1514,20,20,0,0,0,0,16.80894,-88.08841
20161024CB001,sand,Carrie Bow Sand,halimeda,2016,20161024,1445,20161025,1514,20,20,0,0,0,0,16.80894,-88.08841
20161024CB001,sand,Carrie Bow Sand,dictyota,2016,20161024,1445,20161025,1514,20,20,0,2,0,0.1,16.80894,-88.08841
20161024CB001,sand,Carrie Bow Sand,acanthophora,2016,20161024,1445,20161025,1514,20,20,0,0,0,0,16.80894,-88.08841
20161030CB001,sand,Tobacco Sand,thalassia,2016,20161030,1535,20161101,1430,20,20,0,2,0,0.1,16.883806,-88.073361
20161030CB001,sand,Tobacco Sand,sargassum,2016,20161030,1535,20161101,1430,20,20,0,0,0,0,16.883806,-88.073361
20161030CB001,sand,Tobacco Sand,halimeda,2016,20161030,1535,20161101,1430,20,20,0,0,0,0,16.883806,-88.073361
20161030CB001,sand,Tobacco Sand,dictyota,2016,20161030,1535,20161101,1430,20,20,0,0,0,0,16.883806,-88.073361
20161030CB001,sand,Tobacco Sand,acanthophora,2016,20161030,1535,20161101,1430,20,20,0,0,0,0,16.883806,-88.073361
20161024CB003,sand,Twin Cays Sand,thalassia,2016,20161024,1500,20161025,1520,20,20,1,2,0.041666667,0.1,16.82382,-88.10274
20161024CB003,sand,Twin Cays Sand,sargassum,2016,20161024,1500,20161025,1520,20,20,1,1,0.041666667,0.05,16.82382,-88.10274
20161024CB003,sand,Twin Cays Sand,halimeda,2016,20161024,1500,20161025,1520,20,20,0,0,0,0,16.82382,-88.10274
20161024CB003,sand,Twin Cays Sand,dictyota,2016,20161024,1500,20161025,1520,20,20,0,3,0,0.15,16.82382,-88.10274
20161024CB003,sand,Twin Cays Sand,acanthophora,2016,20161024,1500,20161025,1520,20,20,0,3,0,0.15,16.82382,-88.10274
20161101CB001,sand,Curlew Sand,thalassia,2016,20161101,945,20161102,945,20,20,0,0,0,0,16.78734,-88.09379
20161101CB001,sand,Curlew Sand,sargassum,2016,20161101,945,20161102,945,20,20,0,0,0,0,16.78734,-88.09379
20161101CB001,sand,Curlew Sand,halimeda,2016,20161101,945,20161102,945,20,20,0,0,0,0,16.78734,-88.09379
20161101CB001,sand,Curlew Sand,dictyota,2016,20161101,945,20161102,945,20,20,0,0,0,0,16.78734,-88.09379
20161101CB001,sand,Curlew Sand,acanthophora,2016,20161101,945,20161102,945,20,20,0,0,0,0,16.78734,-88.09379
20161021CB002,seagrass,Carrie Bow Seagrass,thalassia,2016,20161021,815,20161022,845,20,20,0,0,0,0,16.8025,-88.0825
20161021CB002,seagrass,Carrie Bow Seagrass,sargassum,2016,20161021,815,20161022,845,20,20,0,0,0,0,16.8025,-88.0825
20161021CB002,seagrass,Carrie Bow Seagrass,halimeda,2016,20161021,815,20161022,845,20,20,0,0,0,0,16.8025,-88.0825
20161021CB002,seagrass,Carrie Bow Seagrass,dictyota,2016,20161021,815,20161022,845,20,20,0,0,0,0,16.8025,-88.0825
20161021CB002,seagrass,Carrie Bow Seagrass,acanthophora,2016,20161021,815,20161022,845,20,20,0,1,0,0.05,16.8025,-88.0825
20161101CB002,seagrass,Curlew Seagrass,thalassia,2016,20161101,1000,20161102,1000,20,20,0,0,0,0,16.787278,-88.085056
20161101CB002,seagrass,Curlew Seagrass,sargassum,2016,20161101,1000,20161102,1000,20,20,0,7,0,0.35,16.787278,-88.085056
20161101CB002,seagrass,Curlew Seagrass,halimeda,2016,20161101,1000,20161102,1000,20,20,0,0,0,0,16.787278,-88.085056
20161101CB002,seagrass,Curlew Seagrass,dictyota,2016,20161101,1000,20161102,1000,20,20,1,13,0.041666667,0.65,16.787278,-88.085056
20161101CB002,seagrass,Curlew Seagrass,acanthophora,2016,20161101,1000,20161102,1000,20,20,2,14,0.083333333,0.7,16.787278,-88.085056
20171001CB001,sand,Carrie Bow Sand,thalassia,2017,20171001,1443,20171002,1445,20,20,0,0,0,0,,
20171001CB001,sand,Carrie Bow Sand,sargassum,2017,20171001,1443,20171002,1445,20,20,0,0,0,0,,
20171001CB001,sand,Carrie Bow Sand,halimeda,2017,20171001,1443,20171002,1445,20,20,0,0,0,0,,
20171001CB001,sand,Carrie Bow Sand,dictyota,2017,20171001,1443,20171002,1445,20,20,0,0,0,0,,
20171001CB001,sand,Carrie Bow Sand,acanthophora,2017,20171001,1443,20171002,1445,20,20,1,1,0.05,0.05,,
20171008CB001,sand,Tobacco Sand,thalassia,2017,20171008,1340,20171009,1537,20,20,0,2,0,0.1,,
20171008CB001,sand,Tobacco Sand,sargassum,2017,20171008,1340,20171009,1537,20,20,0,0,0,0,,
20171008CB001,sand,Tobacco Sand,halimeda,2017,20171008,1340,20171009,1537,20,20,0,0,0,0,,
20171008CB001,sand,Tobacco Sand,dictyota,2017,20171008,1340,20171009,1537,19,19,1,1,0.052631579,0.052631579,,
20171008CB001,sand,Tobacco Sand,acanthophora,2017,20171008,1340,20171009,1537,20,20,0,0,0,0,,
20171006CB001,sand,Curlew Sand,thalassia,2017,20171006,1031,20171007,920,20,20,0,0,0,0,,
20171006CB001,sand,Curlew Sand,sargassum,2017,20171006,1031,20171007,920,20,20,0,0,0,0,,
20171006CB001,sand,Curlew Sand,halimeda,2017,20171006,1031,20171007,920,20,20,0,0,0,0,,
20171006CB001,sand,Curlew Sand,dictyota,2017,20171006,1031,20171007,920,20,20,0,0,0,0,,
20171006CB001,sand,Curlew Sand,acanthophora,2017,20171006,1031,20171007,920,20,20,0,0,0,0,,
20170930CB001,seagrass,Carrie Bow Seagrass,thalassia,2017,20170930,1420,20171001,1710,20,20,0,1,0,0.05,,
20170930CB001,seagrass,Carrie Bow Seagrass,sargassum,2017,20170930,1420,20171001,1710,20,20,0,1,0,0.05,,
20170930CB001,seagrass,Carrie Bow Seagrass,halimeda,2017,20170930,1420,20171001,1710,20,20,0,1,0,0.05,,
20170930CB001,seagrass,Carrie Bow Seagrass,dictyota,2017,20170930,1420,20171001,1710,20,20,0,1,0,0.05,,
20170930CB001,seagrass,Carrie Bow Seagrass,acanthophora,2017,20170930,1420,20171001,1710,20,20,0,2,0,0.1,,
20170929CB001,seagrass,Curlew Seagrass,thalassia,2017,20170929,1615,20170930,1550,20,20,0,0,0,0,,
20170929CB001,seagrass,Curlew Seagrass,sargassum,2017,20170929,1615,20170930,1550,20,20,0,0,0,0,,
20170929CB001,seagrass,Curlew Seagrass,halimeda,2017,20170929,1615,20170930,1550,20,20,0,0,0,0,,
20170929CB001,seagrass,Curlew Seagrass,dictyota,2017,20170929,1615,20170930,1550,20,20,0,1,0,0.05,,
20170929CB001,seagrass,Curlew Seagrass,acanthophora,2017,20170929,1615,20170930,1550,20,20,0,4,0,0.2,,
20170930CB002,seagrass,Twin Cays Seagrass,thalassia,2017,20170930,1134,20171001,920,20,20,0,0,0,0,,
20170930CB002,seagrass,Twin Cays Seagrass,sargassum,2017,20170930,1134,20171001,920,20,20,0,0,0,0,,
20170930CB002,seagrass,Twin Cays Seagrass,halimeda,2017,20170930,1134,20171001,920,20,20,0,0,0,0,,
20170930CB002,seagrass,Twin Cays Seagrass,dictyota,2017,20170930,1134,20171001,920,20,20,0,0,0,0,,
20170930CB002,seagrass,Twin Cays Seagrass,acanthophora,2017,20170930,1134,20171001,920,20,20,0,0,0,0,,
20171004CB001,patch reef,Carrie Bow Patch Reef,thalassia,2017,20171004,945,20171005,915,20,20,NA,11,NA,0.55,,
20171004CB001,patch reef,Carrie Bow Patch Reef,sargassum,2017,20171004,945,20171005,915,20,20,NA,14,NA,0.7,,
20171004CB001,patch reef,Carrie Bow Patch Reef,halimeda,2017,20171004,945,20171005,915,20,20,NA,3,NA,0.15,,
20171004CB001,patch reef,Carrie Bow Patch Reef,dictyota,2017,20171004,945,20171005,915,20,20,NA,18,NA,0.9,,
20171004CB001,patch reef,Carrie Bow Patch Reef,acanthophora,2017,20171004,945,20171005,915,20,20,NA,20,NA,1,,
20170928CB001,fore reef,Tobacco Reef,thalassia,2017,20170928,1540,20170929,1532,19,19,3,18,0.157894737,0.947368421,,
20170928CB001,fore reef,Tobacco Reef,sargassum,2017,20170928,1540,20170929,1532,19,19,0,3,0,0.157894737,,
20170928CB001,fore reef,Tobacco Reef,halimeda,2017,20170928,1540,20170929,1532,19,19,0,0,0,0,,
20170928CB001,fore reef,Tobacco Reef,dictyota,2017,20170928,1540,20170929,1532,19,19,0,1,0,0.052631579,,
20170928CB001,fore reef,Tobacco Reef,acanthophora,2017,20170928,1540,20170929,1532,19,19,2,18,0.105263158,0.947368421,,
20171007CB001,fore reef,Carrie Bow Reef,thalassia,2017,20171007,NA,20171008,1710,20,20,NA,19,NA,0.95,,
20171007CB001,fore reef,Carrie Bow Reef,sargassum,2017,20171007,NA,20171008,1710,20,20,NA,1,NA,0.05,,
20171007CB001,fore reef,Carrie Bow Reef,halimeda,2017,20171007,NA,20171008,1710,20,20,NA,1,NA,0.05,,
20171007CB001,fore reef,Carrie Bow Reef,dictyota,2017,20171007,NA,20171008,1710,20,20,NA,1,NA,0.05,,
20171007CB001,fore reef,Carrie Bow Reef,acanthophora,2017,20171007,NA,20171008,1710,20,20,NA,18,NA,0.9,,
20171008CB002,fore reef,Tobacco Reef,thalassia,2017,20171008,NA,20171009,1617,20,20,NA,20,NA,1,,
20171008CB002,fore reef,Tobacco Reef,sargassum,2017,20171008,NA,20171009,1617,20,20,NA,2,NA,0.1,,
20171008CB002,fore reef,Tobacco Reef,halimeda,2017,20171008,NA,20171009,1617,20,20,NA,1,NA,0.05,,
20171008CB002,fore reef,Tobacco Reef,dictyota,2017,20171008,NA,20171009,1617,20,20,NA,2,NA,0.1,,
20171008CB002,fore reef,Tobacco Reef,acanthophora,2017,20171008,NA,20171009,1617,20,20,NA,20,NA,1,,
20171001CB002,patch reef,House Reef,thalassia,2017,20171001,NA,20171002,945,20,20,NA,20,NA,1,,
20171001CB002,patch reef,House Reef,sargassum,2017,20171001,NA,20171002,945,20,20,NA,16,NA,0.8,,
20171001CB002,patch reef,House Reef,halimeda,2017,20171001,NA,20171002,945,20,20,NA,0,NA,0,,
20171001CB002,patch reef,House Reef,dictyota,2017,20171001,NA,20171002,945,20,20,NA,17,NA,0.85,,
20171001CB002,patch reef,House Reef,acanthophora,2017,20171001,NA,20171002,945,20,20,NA,19,NA,0.95,,
20170928CB002,mangrove,Tobacco Mangrove,thalassia,2017,20170928,1020,20170929,923,20,20,0,0,0,0,,
20170928CB002,mangrove,Tobacco Mangrove,sargassum,2017,20170928,1020,20170929,923,20,20,0,0,0,0,,
20170928CB002,mangrove,Tobacco Mangrove,halimeda,2017,20170928,1020,20170929,923,20,20,0,0,0,0,,
20170928CB002,mangrove,Tobacco Mangrove,dictyota,2017,20170928,1020,20170929,923,20,20,0,1,0,0.05,,
20170928CB002,mangrove,Tobacco Mangrove,acanthophora,2017,20170928,1020,20170929,923,20,20,0,11,0,0.55,,
20171002CB001,mangrove,Blueground Mangrove,thalassia,2017,20171002,950,20171003,950,20,20,0,3,0,0.15,,
20171002CB001,mangrove,Blueground Mangrove,sargassum,2017,20171002,950,20171003,950,20,20,0,1,0,0.05,,
20171002CB001,mangrove,Blueground Mangrove,halimeda,2017,20171002,950,20171003,950,20,20,0,0,0,0,,
20171002CB001,mangrove,Blueground Mangrove,dictyota,2017,20171002,950,20171003,950,20,20,0,0,0,0,,
20171002CB001,mangrove,Blueground Mangrove,acanthophora,2017,20171002,950,20171003,950,20,20,0,3,0,0.15,,
20170930CB003,mangrove,Twin Cays Mangrove,thalassia,2017,20170930,1000,20171001,849,20,20,0,0,0,0,,
20170930CB003,mangrove,Twin Cays Mangrove,sargassum,2017,20170930,1000,20171001,849,20,20,0,0,0,0,,
20170930CB003,mangrove,Twin Cays Mangrove,halimeda,2017,20170930,1000,20171001,849,20,20,0,0,0,0,,
20170930CB003,mangrove,Twin Cays Mangrove,dictyota,2017,20170930,1000,20171001,849,20,20,0,0,0,0,,
20170930CB003,mangrove,Twin Cays Mangrove,acanthophora,2017,20170930,1000,20171001,849,20,20,0,0,0,0,,
20171006CB002,fore reef,South Reef,thalassia,2017,20171006,NA,20171007,NA,20,19,NA,18,NA,0.947368421,,
20171006CB002,fore reef,South Reef,sargassum,2017,20171006,NA,20171007,NA,20,19,NA,7,NA,0.368421053,,
20171006CB002,fore reef,South Reef,halimeda,2017,20171006,NA,20171007,NA,20,19,NA,1,NA,0.052631579,,
20171006CB002,fore reef,South Reef,dictyota,2017,20171006,NA,20171007,NA,20,19,NA,2,NA,0.105263158,,
20171006CB002,fore reef,South Reef,acanthophora,2017,20171006,NA,20171007,NA,20,19,NA,18,NA,0.947368421,,
20171009CB001,patch reef,Curlew Patch Reef,thalassia,2017,20171009,NA,20171010,1424,20,20,NA,0,NA,0,,
20171009CB001,patch reef,Curlew Patch Reef,sargassum,2017,20171009,NA,20171010,1424,20,20,NA,0,NA,0,,
20171009CB001,patch reef,Curlew Patch Reef,halimeda,2017,20171009,NA,20171010,1424,20,20,NA,0,NA,0,,
20171009CB001,patch reef,Curlew Patch Reef,dictyota,2017,20171009,NA,20171010,1424,20,20,NA,0,NA,0,,
20171009CB001,patch reef,Curlew Patch Reef,acanthophora,2017,20171009,NA,20171010,1424,20,20,NA,20,NA,1,,